Timestamp (s),Message ID,Vehicle Index,Position Validity,Latitude (Degrees),Longitude (Degrees),Heading Validity,Heading (Degrees),Attitude Validity,Pitch (Degrees),Roll (Degrees),Magnetic Yaw (Radians),Altitude Validity,Altitude (Metres),Velocity Validity,Velocity (nmi/hour)
 03/02/2022 17:50:00.000,7,0,TRUE,1.36192,103.91012,TRUE,23.07303332,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.010,7,0,TRUE,1.36194202,103.9101293,TRUE,23.07303354,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.020,7,0,TRUE,1.36196404,103.9101386,TRUE,23.07303376,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.030,7,0,TRUE,1.36198606,103.910148,TRUE,23.07303398,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.040,7,0,TRUE,1.36200808,103.9101573,TRUE,23.0730342,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.050,7,0,TRUE,1.3620301,103.9101666,TRUE,23.07303442,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.060,7,0,TRUE,1.36205212,103.9101759,TRUE,23.07303465,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.070,7,0,TRUE,1.36207414,103.9101852,TRUE,23.07303487,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.080,7,0,TRUE,1.36209616,103.9101946,TRUE,23.07303509,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.090,7,0,TRUE,1.36211818,103.9102039,TRUE,23.0730353,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.100,7,0,TRUE,1.3621402,103.9102132,TRUE,23.07303553,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.110,7,0,TRUE,1.36216222,103.9102225,TRUE,23.07303576,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.120,7,0,TRUE,1.36218424,103.9102318,TRUE,23.07303597,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.130,7,0,TRUE,1.36220626,103.9102412,TRUE,23.07303619,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.140,7,0,TRUE,1.36222828,103.9102505,TRUE,23.07303642,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.150,7,0,TRUE,1.3622503,103.9102598,TRUE,23.07303664,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.160,7,0,TRUE,1.36227232,103.9102691,TRUE,23.07303686,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.170,7,0,TRUE,1.36229434,103.9102784,TRUE,23.07303708,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.180,7,0,TRUE,1.36231636,103.9102878,TRUE,23.0730373,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.190,7,0,TRUE,1.36233838,103.9102971,TRUE,23.07303752,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.200,7,0,TRUE,1.3623604,103.9103064,TRUE,23.07303775,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.210,7,0,TRUE,1.36238242,103.9103157,TRUE,23.07303797,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.220,7,0,TRUE,1.36240444,103.910325,TRUE,23.07303819,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.230,7,0,TRUE,1.36242646,103.9103344,TRUE,23.07303841,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.240,7,0,TRUE,1.36244848,103.9103437,TRUE,23.07303863,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.250,7,0,TRUE,1.3624705,103.910353,TRUE,23.07303886,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.260,7,0,TRUE,1.36249252,103.9103623,TRUE,23.07303908,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.270,7,0,TRUE,1.36251454,103.9103716,TRUE,23.0730393,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.280,7,0,TRUE,1.36253656,103.910381,TRUE,23.07303952,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.290,7,0,TRUE,1.36255858,103.9103903,TRUE,23.07303974,TRUE,0,0,0,TRUE,10000,TRUE,100
 03/02/2022 17:50:00.300,7,0,TRUE,1.3625806,103.9103996,TRUE,23.07303996,TRUE,0,0,0,TRUE,10000,TRUE,100
